"date","lon","lat","SST","dist","don"
1981-11-01,NA,NA,NA,NA,"day"
1981-11-01,NA,NA,NA,NA,"night"
1981-11-02,NA,NA,NA,NA,"day"
1981-11-02,NA,NA,NA,NA,"night"
1981-11-03,18.4791717529297,-34.3124961853027,15.57,1.30497080430001,"day"
1981-11-03,18.4375,-34.3124961853027,15.83,2.55927709462314,"day"
1981-11-03,18.4791717529297,-34.3541641235352,17.08,5.01133488982889,"day"
1981-11-03,18.5208282470703,-34.3124961853027,15.3,5.12515443689026,"day"
1981-11-03,18.4375,-34.3541641235352,17.07,5.4733931304507,"day"
1981-11-03,18.4791717529297,-34.3541641235352,15.21,5.01133488982889,"night"
1981-11-03,18.5208282470703,-34.3124961853027,14.5,5.12515443689026,"night"
1981-11-03,18.5208282470703,-34.2708282470703,14.68,6.75257234155084,"night"
1981-11-03,18.5208282470703,-34.3541641235352,15.21,7.0473822379292,"night"
1981-11-04,NA,NA,NA,NA,"day"
1981-11-04,NA,NA,NA,NA,"night"
1981-11-05,18.4791717529297,-34.3124961853027,17.41,1.30497080430001,"day"
1981-11-05,18.4375,-34.3124961853027,17.41,2.55927709462314,"day"
1981-11-05,18.4375,-34.3541641235352,17.23,5.4733931304507,"day"
1981-11-05,18.3958282470703,-34.3124961853027,17.41,6.38924438058163,"day"
1981-11-05,18.3958282470703,-34.3541641235352,17.28,8.01334129166883,"day"
1981-11-05,NA,NA,NA,NA,"night"
1981-11-06,NA,NA,NA,NA,"day"
1981-11-06,18.4791717529297,-34.3541641235352,17.22,5.01133488982889,"night"
1981-11-06,18.5208282470703,-34.3124961853027,16.51,5.12515443689026,"night"
1981-11-06,18.5208282470703,-34.3541641235352,17.22,7.0473822379292,"night"
1981-11-07,NA,NA,NA,NA,"day"
1981-11-07,NA,NA,NA,NA,"night"
1981-11-08,NA,NA,NA,NA,"day"
1981-11-08,NA,NA,NA,NA,"night"
1981-11-09,18.4791717529297,-34.3541641235352,15.28,5.01133488982889,"day"
1981-11-09,18.4375,-34.3541641235352,15.17,5.4733931304507,"day"
1981-11-09,18.3958282470703,-34.3124961853027,13.27,6.38924438058163,"day"
1981-11-09,18.5208282470703,-34.3541641235352,15.28,7.0473822379292,"day"
1981-11-09,18.3958282470703,-34.3541641235352,15.05,8.01334129166883,"day"
1981-11-09,NA,NA,NA,NA,"night"
1981-11-10,18.4791717529297,-34.3124961853027,10.34,1.30497080430001,"day"
1981-11-10,18.4375,-34.3124961853027,10.34,2.55927709462314,"day"
1981-11-10,18.4791717529297,-34.3541641235352,12.84,5.01133488982889,"day"
1981-11-10,18.5208282470703,-34.3124961853027,10.34,5.12515443689026,"day"
1981-11-10,18.4375,-34.3541641235352,12.74,5.4733931304507,"day"
1981-11-10,18.4791717529297,-34.3541641235352,11.37,5.01133488587695,"night"
1981-11-10,18.5208282470703,-34.3541641235352,11.37,7.04738219337773,"night"
